# Filename: ILATM2_20171125_202918_smooth_nadir3seg_50pt.csv
# Input filename: ILATMW1B_20171125_202918.atm6AT6.qi
# Number of segments: 3
# Nadir block width: 80.0m
# Output interval: 0.25sec
# Smoothing interval: 0.5sec
# Trajectory file used: 171125_aa_l12_cfm_itrf14_08jan18_sawh_roth_amu2
# International Terrestrial Reference Frame: ITRF14
#
# UTC_Seconds_Of_Day, Latitude(deg), Longitude(deg), WGS84_Ellipsoid_Height(m), South-to-North_Slope, West-to-East_Slope, RMS_Fit(cm), Number_Of_ATM_Measurments_Used, Number_Of_ATM_Measurements_Removed, Distance_Of_Block_To_The_Right_Of_Aircraft(m), Track_Identifier
73754.00, -72.866182, 269.120227, 443.9237, -0.0658306, -0.0565934, 59.68, 1217, 46, -336, 3
73754.00, -72.868212, 269.127819, 436.1000, -0.0388581, -0.0839295, 14.58, 81, 0, 0, 0
73754.25, -72.870873, 269.139314, 414.5363, -0.0711079, -0.0514404, 154.96, 1456, 51, 478, 1
73754.25, -72.868410, 269.130099, 429.8528, -0.0447445, -0.1024994, 51.15, 446, 0, 70, 2
73754.25, -72.865947, 269.120885, 440.9688, -0.0765869, -0.0638347, 47.88, 1191, 50, -337, 3
73754.25, -72.867986, 269.128513, 433.2147, -0.0340372, -0.0888936, 17.88, 68, 0, 0, 0
73754.50, -72.870650, 269.140011, 410.9483, -0.0679331, -0.0377215, 120.51, 1405, 76, 478, 1
73754.50, -72.868181, 269.130781, 426.5608, -0.0437430, -0.1111048, 45.59, 467, 9, 70, 2
73754.50, -72.865713, 269.121551, 437.6450, -0.0873458, -0.0702926, 39.85, 1214, 53, -339, 3
73754.50, -72.867760, 269.129208, 430.3931, -0.0256124, -0.0917660, 16.43, 78, 0, 0, 0
73754.75, -72.870427, 269.140719, 408.0533, -0.0591640, -0.0228520, 70.95, 1406, 95, 479, 1
73754.75, -72.867953, 269.131468, 423.1868, -0.0335397, -0.1083579, 57.36, 493, 0, 69, 2
73754.75, -72.865479, 269.122217, 433.9140, -0.0965517, -0.0753500, 39.58, 1223, 39, -340, 3
73754.75, -72.867535, 269.129903, 427.6969, -0.0210981, -0.0939293, 15.26, 94, 0, 0, 0
73755.00, -72.870204, 269.141428, 406.6477, -0.0476957, -0.0165718, 52.54, 1422, 78, 479, 1
73755.00, -72.867726, 269.132159, 420.1417, -0.0251348, -0.1067707, 60.28, 508, 14, 69, 2
73755.00, -72.865249, 269.122891, 429.8953, -0.1051096, -0.0795951, 37.38, 1237, 34, -341, 3
73755.00, -72.867309, 269.130598, 425.0200, -0.0190201, -0.0947762, 13.47, 105, 0, 0, 0
73755.25, -72.869981, 269.142141, 406.1719, -0.0367470, -0.0175379, 52.55, 1472, 12, 480, 1
73755.25, -72.867499, 269.132851, 417.2351, -0.0159410, -0.0980250, 81.55, 536, 13, 69, 2
73755.25, -72.865018, 269.123560, 425.5953, -0.1117733, -0.0823571, 33.58, 1251, 30, -342, 3
73755.25, -72.867083, 269.131294, 422.3745, -0.0203624, -0.0927182, 15.25, 109, 0, 0, 0
73755.50, -72.869763, 269.142853, 405.5518, -0.0298038, -0.0198753, 59.27, 1497, 6, 481, 1
73755.50, -72.867274, 269.133548, 414.5771, -0.0123716, -0.0876463, 114.00, 513, 6, 69, 2
73755.50, -72.864786, 269.124243, 421.0432, -0.1143371, -0.0818387, 29.26, 1261, 28, -343, 3
73755.50, -72.866857, 269.131989, 419.6825, -0.0278962, -0.0896375, 17.70, 103, 0, 0, 0
73755.75, -72.869546, 269.143589, 405.3651, -0.0304791, -0.0340950, 54.03, 1506, 51, 482, 1
73755.75, -72.867052, 269.134256, 412.3988, -0.0098355, -0.0717383, 133.62, 507, 2, 70, 2
73755.75, -72.864557, 269.124923, 416.5330, -0.1108037, -0.0768015, 24.00, 1268, 27, -343, 3
73755.75, -72.866632, 269.132684, 416.9537, -0.0350894, -0.0837567, 18.24, 99, 0, 0, 0
73756.00, -72.869332, 269.144335, 404.6266, -0.0318515, -0.0462477, 62.03, 1516, 53, 484, 1
73756.00, -72.866833, 269.134980, 410.6319, -0.0118478, -0.0587953, 127.74, 513, 1, 71, 2
73756.00, -72.864334, 269.125626, 412.2720, -0.0993440, -0.0658240, 22.76, 1289, 9, -343, 3
73756.00, -72.866406, 269.133381, 414.2507, -0.0366723, -0.0720798, 19.21, 104, 1, 0, 0
73756.25, -72.869121, 269.145080, 403.6895, -0.0364108, -0.0629254, 52.40, 1499, 83, 487, 1
73756.25, -72.866615, 269.135706, 409.1040, -0.0192928, -0.0505477, 106.19, 512, 1, 72, 2
73756.25, -72.864110, 269.126333, 408.6409, -0.0815065, -0.0497487, 23.31, 1306, 2, -343, 3
73756.25, -72.866180, 269.134076, 411.7991, -0.0372742, -0.0567026, 19.84, 109, 0, 0, 0
73756.50, -72.868911, 269.145836, 401.5956, -0.0443803, -0.0764105, 52.92, 1501, 72, 489, 1
73756.50, -72.866399, 269.136440, 407.5364, -0.0194126, -0.0413697, 98.83, 481, 0, 74, 2
73756.50, -72.863888, 269.127044, 405.8929, -0.0575916, -0.0292888, 26.98, 1295, 2, -342, 3
73756.50, -72.865954, 269.134772, 409.7051, -0.0384876, -0.0448219, 16.88, 98, 0, 0, 0
73756.75, -72.868700, 269.146592, 398.7456, -0.0532791, -0.0880966, 52.13, 1511, 60, 492, 1
73756.75, -72.866184, 269.137177, 406.1867, -0.0214138, -0.0377439, 97.00, 454, 0, 76, 2
73756.75, -72.863669, 269.127763, 404.2330, -0.0307040, -0.0069402, 28.17, 1271, 2, -341, 3
73756.75, -72.865728, 269.135468, 407.9997, -0.0330121, -0.0305649, 13.76, 87, 0, 0, 0
73757.00, -72.868491, 269.147354, 395.4096, -0.0612575, -0.0986264, 41.75, 1496, 54, 495, 1
73757.00, -72.865970, 269.137920, 404.8619, -0.0185337, -0.0359477, 104.74, 480, 0, 78, 2
73757.00, -72.863450, 269.128487, 403.5671, -0.0111334, 0.0084957, 24.38, 1253, 22, -340, 3
73757.00, -72.865501, 269.136165, 406.6393, -0.0273831, -0.0245258, 13.16, 80, 0, 0, 0
73757.25, -72.868280, 269.148112, 391.4871, -0.0660765, -0.1042342, 45.75, 1484, 10, 498, 1
73757.25, -72.865756, 269.138663, 403.5767, -0.0167874, -0.0385989, 108.68, 512, 0, 80, 2
73757.25, -72.863232, 269.129214, 403.4376, -0.0046527, 0.0121171, 22.22, 1266, 27, -338, 3
73757.25, -72.865275, 269.136861, 405.4566, -0.0229337, -0.0248674, 12.73, 90, 0, 0, 0
73757.50, -72.868068, 269.148872, 387.3092, -0.0716905, -0.1110398, 70.71, 1464, 10, 500, 1
73757.50, -72.865543, 269.139409, 402.2145, -0.0149540, -0.0417634, 110.83, 519, 0, 82, 2
73757.50, -72.863018, 269.129947, 403.2851, -0.0088804, 0.0058774, 23.57, 1280, 23, -336, 3
73757.50, -72.865049, 269.137558, 404.3534, -0.0190527, -0.0255232, 12.30, 103, 0, 0, 0
73757.75, -72.867856, 269.149614, 383.1447, -0.0704887, -0.1123911, 117.94, 1418, 6, 502, 1
73757.75, -72.865328, 269.140148, 400.7520, -0.0165579, -0.0479546, 115.32, 489, 0, 84, 2
73757.75, -72.862800, 269.130682, 402.7788, -0.0157597, -0.0031579, 25.36, 1295, 14, -335, 3
73757.75, -72.864822, 269.138255, 403.1947, -0.0214787, -0.0306626, 12.43, 93, 0, 0, 0
73758.00, -72.867640, 269.150348, 379.1149, -0.0648543, -0.1095787, 175.74, 1377, 2, 504, 1
73758.00, -72.865110, 269.140876, 399.1802, -0.0167783, -0.0514181, 120.80, 480, 0, 85, 2
73758.00, -72.862580, 269.131404, 401.7862, -0.0255153, -0.0151403, 23.98, 1278, 7, -334, 3
73758.00, -72.864596, 269.138951, 401.7782, -0.0271920, -0.0379330, 13.94, 79, 0, 0, 0
73758.25, -72.867423, 269.151076, 375.4744, -0.0555260, -0.1044193, 230.08, 1356, 0, 506, 1
73758.25, -72.864890, 269.141598, 397.3918, -0.0240327, -0.0588615, 127.67, 509, 0, 86, 2
73758.25, -72.862357, 269.132120, 400.3025, -0.0332275, -0.0253873, 25.71, 1246, 10, -333, 3
73758.25, -72.864369, 269.139649, 399.9977, -0.0367264, -0.0463679, 12.56, 79, 0, 0, 0
73758.50, -72.867200, 269.151789, 372.1487, -0.0504827, -0.1041331, 268.89, 1379, 0, 506, 1
73758.50, -72.864663, 269.142295, 395.2181, -0.0332170, -0.0652812, 127.26, 516, 0, 86, 2
73758.50, -72.862127, 269.132800, 398.4128, -0.0381789, -0.0336040, 26.60, 1267, 11, -334, 3
73758.50, -72.864143, 269.140346, 397.7273, -0.0495506, -0.0567048, 14.33, 96, 0, 0, 0
73758.75, -72.866971, 269.152487, 369.2076, -0.0385604, -0.0976365, 286.19, 1405, 0, 506, 1
73758.75, -72.864432, 269.142975, 392.6644, -0.0439566, -0.0724783, 117.73, 516, 0, 85, 2
73758.75, -72.861892, 269.133464, 396.2624, -0.0416428, -0.0401890, 31.39, 1282, 10, -335, 3
73758.75, -72.863916, 269.141043, 394.9918, -0.0586363, -0.0650467, 12.75, 105, 0, 0, 0
73759.00, -72.866743, 269.153175, 366.6022, -0.0262863, -0.0883254, 282.08, 1456, 0, 506, 1
73759.00, -72.864199, 269.143647, 389.6187, -0.0588031, -0.0836704, 101.74, 532, 3, 84, 2
73759.00, -72.861654, 269.134119, 393.8911, -0.0429101, -0.0449519, 40.48, 1299, 3, -337, 3
73759.00, -72.863689, 269.141741, 391.8018, -0.0680704, -0.0745283, 11.81, 103, 0, 0, 0
73759.25, -72.866515, 269.153859, 364.4000, -0.0169762, -0.0800138, 252.58, 1507, 0, 505, 1
73759.25, -72.863965, 269.144316, 386.1940, -0.0626601, -0.0860565, 87.68, 540, 1, 83, 2
73759.25, -72.861414, 269.134773, 391.4581, -0.0433837, -0.0484844, 53.75, 1313, 4, -339, 3
73759.25, -72.863463, 269.142438, 388.2549, -0.0724091, -0.0797916, 10.46, 104, 0, 0, 0
73759.50, -72.866286, 269.154545, 362.4239, -0.0091762, -0.0713645, 205.50, 1526, 0, 505, 1
73759.50, -72.863731, 269.144989, 382.5619, -0.0673757, -0.0905416, 73.37, 530, 1, 82, 2
73759.50, -72.861177, 269.135433, 389.0412, -0.0422885, -0.0496426, 68.12, 1275, 3, -341, 3
73759.50, -72.863236, 269.143135, 384.5921, -0.0721223, -0.0817791, 10.28, 104, 0, 0, 0
73759.75, -72.866052, 269.155233, 360.6128, 0.0002099, -0.0583037, 152.29, 1539, 4, 504, 1
73759.75, -72.863498, 269.145665, 378.8019, -0.0649774, -0.0910805, 63.62, 509, 0, 81, 2
73759.75, -72.860944, 269.136098, 386.6450, -0.0419906, -0.0511492, 86.88, 1252, 0, -342, 3
73759.75, -72.863009, 269.143833, 380.9606, -0.0680286, -0.0818953, 11.37, 97, 1, 0, 0
73760.00, -72.865826, 269.155938, 358.5916, 0.0093358, -0.0393037, 91.86, 1515, 53, 504, 1
73760.00, -72.863270, 269.146359, 375.0976, -0.0604273, -0.0914268, 56.10, 499, 0, 81, 2
73760.00, -72.860713, 269.136780, 384.3596, -0.0387900, -0.0489560, 103.21, 1255, 0, -343, 3
73760.00, -72.862782, 269.144531, 377.5337, -0.0580078, -0.0797420, 14.90, 97, 0, 0, 0
73760.25, -72.865604, 269.156655, 357.0115, 0.0121373, -0.0263249, 48.60, 1461, 88, 505, 1
73760.25, -72.863044, 269.147064, 371.4831, -0.0552880, -0.0933790, 52.86, 503, 1, 81, 2
73760.25, -72.860484, 269.137472, 382.2420, -0.0383902, -0.0476659, 116.11, 1276, 0, -343, 3
73760.25, -72.862555, 269.145229, 374.3141, -0.0502267, -0.0815837, 15.31, 100, 0, 0, 0
73760.50, -72.865383, 269.157387, 356.2677, 0.0132555, -0.0197524, 38.34, 1414, 103, 506, 1
73760.50, -72.862821, 269.147778, 367.9715, -0.0468937, -0.0935647, 55.70, 495, 0, 82, 2
73760.50, -72.860259, 269.138168, 380.2515, -0.0380287, -0.0452778, 124.93, 1254, 0, -343, 3
73760.50, -72.862328, 269.145927, 371.3459, -0.0381170, -0.0798065, 14.59, 98, 0, 0, 0
73760.75, -72.865166, 269.158120, 355.3189, 0.0087874, -0.0157505, 47.81, 1419, 78, 508, 1
73760.75, -72.862600, 269.148497, 364.7836, -0.0354822, -0.0907065, 57.35, 462, 0, 83, 2
73760.75, -72.860034, 269.138873, 378.3723, -0.0380088, -0.0423288, 129.74, 1258, 0, -343, 3
73760.75, -72.862101, 269.146625, 368.7325, -0.0256355, -0.0770772, 13.00, 83, 2, 0, 0
73761.00, -72.864949, 269.158854, 354.1297, 0.0015842, -0.0127617, 75.60, 1415, 46, 510, 1
73761.00, -72.862379, 269.149217, 362.1451, -0.0158352, -0.0803560, 64.11, 472, 4, 84, 2
73761.00, -72.859809, 269.139581, 376.7586, -0.0399576, -0.0390553, 122.95, 1271, 13, -342, 3
73761.00, -72.861873, 269.147322, 366.5961, -0.0092932, -0.0734712, 16.09, 84, 0, 0, 0
73761.25, -72.864732, 269.159592, 353.1145, -0.0052896, -0.0124057, 96.91, 1431, 8, 511, 1
73761.25, -72.862159, 269.149943, 360.0514, -0.0030428, -0.0733570, 66.69, 471, 15, 85, 2
73761.25, -72.859585, 269.140293, 375.2590, -0.0415602, -0.0354416, 106.85, 1279, 30, -342, 3
73761.25, -72.861646, 269.148021, 364.8058, 0.0014700, -0.0713872, 13.26, 92, 0, 0, 0
73761.50, -72.864515, 269.160338, 352.5065, -0.0088009, -0.0150156, 98.14, 1444, 2, 513, 1
73761.50, -72.861940, 269.150673, 358.6471, 0.0095732, -0.0616328, 89.94, 476, 13, 86, 2
73761.50, -72.859364, 269.141008, 373.8483, -0.0422559, -0.0313501, 83.19, 1236, 52, -341, 3
73761.50, -72.861419, 269.148719, 363.4264, 0.0126654, -0.0660924, 11.53, 99, 0, 0, 0
73761.75, -72.864296, 269.161073, 352.2967, -0.0116222, -0.0231799, 78.29, 1379, 39, 515, 1
73761.75, -72.861719, 269.151399, 358.0375, 0.0272562, -0.0399433, 118.17, 502, 6, 88, 2
73761.75, -72.859142, 269.141725, 372.3373, -0.0438664, -0.0296460, 59.98, 1191, 68, -340, 3
73761.75, -72.861191, 269.149417, 362.4602, 0.0226804, -0.0589206, 11.45, 97, 0, 0, 0
73762.00, -72.864076, 269.161798, 351.9520, -0.0127992, -0.0305838, 60.04, 1315, 54, 516, 1
73762.00, -72.861498, 269.152122, 358.1121, 0.0351839, -0.0244297, 128.35, 490, 0, 89, 2
73762.00, -72.858920, 269.142446, 370.6452, -0.0425018, -0.0278489, 45.50, 1186, 69, -339, 3
73762.00, -72.860964, 269.150116, 361.8586, 0.0286755, -0.0515847, 12.14, 81, 0, 0, 0
73762.25, -72.863855, 269.162517, 351.4971, -0.0113461, -0.0359459, 45.13, 1307, 60, 517, 1
73762.25, -72.861275, 269.152837, 358.5764, 0.0372221, -0.0137612, 111.99, 494, 0, 89, 2
73762.25, -72.858695, 269.143157, 369.0008, -0.0412806, -0.0266053, 30.56, 1218, 73, -338, 3
73762.25, -72.860736, 269.150814, 361.6844, 0.0360462, -0.0377632, 16.55, 83, 0, 0, 0
73762.50, -72.863630, 269.163230, 350.9465, -0.0093397, -0.0408530, 38.08, 1336, 56, 518, 1
73762.50, -72.861048, 269.153538, 359.2097, 0.0351353, -0.0081862, 75.51, 501, 1, 89, 2
73762.50, -72.858466, 269.143846, 367.2694, -0.0391785, -0.0259123, 22.87, 1245, 63, -339, 3
73762.50, -72.860508, 269.151513, 361.8442, 0.0346260, -0.0250587, 17.33, 93, 0, 0, 0
73762.75, -72.863406, 269.163934, 350.3508, -0.0057253, -0.0440142, 36.17, 1339, 49, 518, 1
73762.75, -72.860820, 269.154234, 359.8390, 0.0306800, -0.0065735, 42.14, 510, 3, 89, 2
73762.75, -72.858234, 269.144534, 365.5836, -0.0378001, -0.0258779, 19.43, 1245, 42, -339, 3
73762.75, -72.860281, 269.152210, 362.1898, 0.0303098, -0.0148395, 15.78, 95, 0, 0, 0
73763.00, -72.863179, 269.164641, 349.6560, -0.0034600, -0.0473633, 33.96, 1382, 27, 518, 1
73763.00, -72.860591, 269.154928, 360.3127, 0.0231519, -0.0104196, 22.56, 504, 18, 89, 2
73763.00, -72.858002, 269.145214, 364.0456, -0.0367012, -0.0249444, 17.87, 1252, 20, -340, 3
73763.00, -72.860053, 269.152909, 362.5186, 0.0213798, -0.0125144, 12.71, 97, 0, 0, 0
73763.25, -72.862950, 269.165342, 348.8685, -0.0026411, -0.0512947, 33.52, 1405, 31, 518, 1
73763.25, -72.860360, 269.155614, 360.4102, 0.0136204, -0.0169579, 26.02, 502, 21, 89, 2
73763.25, -72.857769, 269.145886, 362.6428, -0.0373433, -0.0240282, 20.41, 1227, 11, -341, 3
73763.25, -72.859825, 269.153608, 362.5499, 0.0099548, -0.0169495, 12.90, 101, 0, 0, 0
73763.50, -72.862720, 269.166040, 347.9224, -0.0032472, -0.0556541, 31.66, 1447, 22, 518, 1
73763.50, -72.860127, 269.156297, 360.0930, 0.0041947, -0.0237852, 38.70, 522, 5, 88, 2
73763.50, -72.857534, 269.146553, 361.4153, -0.0379202, -0.0212196, 26.56, 1201, 5, -342, 3
73763.50, -72.859598, 269.154306, 362.2482, 0.0019627, -0.0212965, 11.25, 103, 0, 0, 0
73763.75, -72.862491, 269.166726, 346.7444, -0.0055522, -0.0602682, 32.58, 1493, 16, 518, 1
73763.75, -72.859892, 269.156966, 359.4666, -0.0035994, -0.0305917, 43.44, 517, 2, 87, 2
73763.75, -72.857293, 269.147206, 360.2348, -0.0410127, -0.0194174, 36.00, 1187, 4, -344, 3
73763.75, -72.859370, 269.155005, 361.6172, -0.0063342, -0.0282391, 11.82, 101, 0, 0, 0
73764.00, -72.862257, 269.167413, 345.2624, -0.0113543, -0.0674528, 33.58, 1505, 12, 517, 1
73764.00, -72.859652, 269.157622, 358.5550, -0.0102857, -0.0377728, 41.33, 507, 7, 85, 2
73764.00, -72.857047, 269.147832, 359.1117, -0.0433464, -0.0159388, 49.30, 1219, 2, -348, 3
73764.00, -72.859142, 269.155704, 360.7098, -0.0092190, -0.0328240, 11.79, 98, 0, 0, 0
73764.25, -72.862023, 269.168090, 343.4392, -0.0186323, -0.0756980, 33.65, 1497, 14, 516, 1
73764.25, -72.859414, 269.158281, 357.3834, -0.0137804, -0.0424918, 40.35, 491, 5, 83, 2
73764.25, -72.856804, 269.148472, 358.0557, -0.0447853, -0.0113199, 63.52, 1236, 4, -350, 3
73764.25, -72.858914, 269.156402, 359.6171, -0.0131160, -0.0384129, 10.18, 95, 0, 0, 0
73764.50, -72.861791, 269.168747, 341.3124, -0.0276281, -0.0859209, 31.79, 1455, 21, 515, 1
73764.50, -72.859175, 269.158936, 355.9949, -0.0186252, -0.0499040, 35.79, 477, 13, 81, 2
73764.50, -72.856560, 269.149125, 356.9686, -0.0475296, -0.0081974, 81.00, 1251, 5, -352, 3
73764.50, -72.858686, 269.157100, 358.2986, -0.0163516, -0.0436719, 11.75, 96, 0, 0, 0
73764.75, -72.861553, 269.169416, 338.6965, -0.0354563, -0.0950443, 32.72, 1478, 12, 513, 1
73764.75, -72.858937, 269.159598, 354.3834, -0.0206893, -0.0548054, 31.96, 458, 13, 79, 2
73764.75, -72.856321, 269.149779, 355.7912, -0.0491234, -0.0052361, 94.92, 1230, 6, -354, 3
73764.75, -72.858458, 269.157800, 356.8131, -0.0168648, -0.0490360, 13.44, 91, 0, 0, 0
73765.00, -72.861323, 269.170111, 335.6832, -0.0414966, -0.1031565, 37.99, 1488, 15, 513, 1
73765.00, -72.858706, 269.160284, 352.6101, -0.0212637, -0.0585179, 33.59, 475, 9, 79, 2
73765.00, -72.856088, 269.150457, 354.5712, -0.0497471, -0.0028470, 102.95, 1228, 9, -355, 3
73765.00, -72.858230, 269.158498, 355.2217, -0.0154265, -0.0539630, 12.59, 90, 0, 0, 0
73765.25, -72.861103, 269.170843, 332.3163, -0.0455786, -0.1100683, 49.97, 1444, 3, 514, 1
73765.25, -72.858481, 269.160996, 350.6865, -0.0220928, -0.0626380, 33.31, 501, 9, 79, 2
73765.25, -72.855859, 269.151149, 353.2618, -0.0507485, -0.0024508, 103.30, 1239, 16, -356, 3
73765.25, -72.858002, 269.159197, 353.5437, -0.0165405, -0.0569817, 12.13, 99, 0, 0, 0
73765.50, -72.860888, 269.171589, 328.8155, -0.0439358, -0.1121249, 69.12, 1418, 0, 517, 1
73765.50, -72.858260, 269.161721, 348.6364, -0.0208911, -0.0645421, 37.79, 484, 2, 81, 2
73765.50, -72.855631, 269.151853, 351.7332, -0.0513322, -0.0039168, 102.55, 1251, 16, -355, 3
73765.50, -72.857774, 269.159896, 351.7861, -0.0160780, -0.0589961, 11.98, 93, 0, 0, 0
73765.75, -72.860676, 269.172358, 325.2401, -0.0405867, -0.1119032, 92.83, 1375, 0, 519, 1
73765.75, -72.858042, 269.162459, 346.5282, -0.0214276, -0.0678785, 41.24, 492, 4, 82, 2
73765.75, -72.855407, 269.152560, 350.0422, -0.0517048, -0.0063993, 96.22, 1224, 17, -355, 3
73765.75, -72.857546, 269.160595, 349.9545, -0.0178381, -0.0629266, 11.59, 89, 0, 0, 0
73766.00, -72.860465, 269.173127, 321.7446, -0.0345364, -0.1075866, 122.15, 1329, 0, 522, 1
73766.00, -72.857824, 269.163198, 344.4384, -0.0195424, -0.0693994, 37.42, 494, 25, 84, 2
73766.00, -72.855183, 269.153270, 348.2514, -0.0541311, -0.0112649, 86.94, 1247, 22, -354, 3
73766.00, -72.857318, 269.161294, 348.0017, -0.0211021, -0.0642155, 11.51, 96, 0, 0, 0
73766.25, -72.860261, 269.173912, 318.4381, -0.0276644, -0.1006667, 155.87, 1302, 0, 526, 1
73766.25, -72.857612, 269.163956, 342.1275, -0.0223134, -0.0729330, 48.88, 492, 15, 87, 2
73766.25, -72.854963, 269.154000, 346.2466, -0.0547711, -0.0153249, 78.53, 1225, 23, -353, 3
73766.25, -72.857089, 269.161993, 345.9037, -0.0267633, -0.0663392, 12.14, 86, 0, 0, 0
73766.50, -72.860049, 269.174676, 315.5394, -0.0139229, -0.0851477, 192.02, 1313, 0, 529, 1
73766.50, -72.857396, 269.164703, 339.6449, -0.0256624, -0.0751359, 68.95, 517, 2, 89, 2
73766.50, -72.854744, 269.154731, 344.1992, -0.0543711, -0.0180650, 64.14, 1153, 33, -351, 3
73766.50, -72.856861, 269.162691, 343.6286, -0.0324446, -0.0687918, 12.40, 82, 0, 0, 0
73766.75, -72.859837, 269.175440, 313.1742, -0.0004969, -0.0662348, 220.40, 1342, 0, 532, 1
73766.75, -72.857181, 269.165453, 337.1527, -0.0267506, -0.0755807, 76.70, 540, 3, 91, 2
73766.75, -72.854526, 269.155466, 342.1263, -0.0544650, -0.0211263, 48.96, 1152, 58, -350, 3
73766.75, -72.856633, 269.163390, 341.1441, -0.0372577, -0.0709762, 13.28, 97, 0, 0, 0
73767.00, -72.859622, 269.176185, 311.3876, 0.0080487, -0.0491456, 229.42, 1361, 0, 534, 1
73767.00, -72.856965, 269.166197, 334.5639, -0.0311744, -0.0782639, 76.87, 534, 0, 93, 2
73767.00, -72.854309, 269.156209, 339.5981, -0.0515052, -0.0248870, 51.66, 1190, 37, -348, 3
73767.00, -72.856405, 269.164089, 338.4589, -0.0420093, -0.0735393, 11.36, 103, 0, 0, 0
73767.25, -72.859403, 269.176922, 309.2934, 0.0163962, -0.0247102, 180.76, 1349, 50, 536, 1
73767.25, -72.856749, 269.166940, 331.8459, -0.0341359, -0.0785096, 72.51, 542, 0, 95, 2
73767.25, -72.854094, 269.156958, 337.3445, -0.0492685, -0.0269251, 43.44, 1138, 45, -346, 3
73767.25, -72.856176, 269.164788, 335.6346, -0.0450068, -0.0756281, 10.19, 103, 0, 0, 0
73767.50, -72.859182, 269.177637, 307.3832, 0.0088749, -0.0153419, 76.51, 1287, 133, 537, 1
73767.50, -72.856528, 269.167666, 329.1392, -0.0354933, -0.0770154, 63.75, 538, 0, 96, 2
73767.50, -72.853874, 269.157695, 335.0126, -0.0433464, -0.0269100, 39.64, 1101, 41, -344, 3
73767.50, -72.855948, 269.165486, 332.6928, -0.0478110, -0.0784828, 10.36, 96, 0, 0, 0
73767.75, -72.858954, 269.178348, 307.5213, 0.0067272, -0.0206275, 52.15, 1312, 127, 537, 1
73767.75, -72.856300, 269.168368, 326.5213, -0.0383157, -0.0755271, 45.20, 507, 9, 96, 2
73767.75, -72.853646, 269.158388, 332.8764, -0.0383360, -0.0274070, 35.16, 1126, 43, -344, 3
73767.75, -72.855720, 269.166186, 329.6759, -0.0469555, -0.0793439, 8.43, 93, 1, 0, 0
73768.00, -72.858723, 269.179040, 308.1635, 0.0051954, -0.0319007, 50.39, 1377, 70, 537, 1
73768.00, -72.856065, 269.169044, 323.9210, -0.0392054, -0.0727047, 29.34, 481, 10, 95, 2
73768.00, -72.853408, 269.159049, 330.8624, -0.0315165, -0.0263802, 31.72, 1125, 51, -346, 3
73768.00, -72.855491, 269.166885, 326.6758, -0.0466143, -0.0789544, 8.68, 96, 0, 0, 0
73768.25, -72.858491, 269.179727, 308.1305, 0.0034028, -0.0403237, 40.27, 1456, 9, 536, 1
73768.25, -72.855828, 269.169711, 321.4368, -0.0387039, -0.0683231, 26.71, 484, 18, 94, 2
73768.25, -72.853166, 269.159695, 329.1185, -0.0254698, -0.0253987, 28.51, 1139, 62, -348, 3
73768.25, -72.855263, 269.167583, 323.7325, -0.0444522, -0.0777573, 9.09, 95, 0, 0, 0
73768.50, -72.858257, 269.180409, 307.6374, 0.0022191, -0.0464532, 43.06, 1478, 0, 535, 1
73768.50, -72.855591, 269.170376, 319.2034, -0.0315222, -0.0574264, 42.67, 506, 8, 92, 2
73768.50, -72.852925, 269.160343, 327.5400, -0.0199416, -0.0245898, 31.09, 1144, 60, -350, 3
73768.50, -72.855034, 269.168282, 320.9816, -0.0380053, -0.0708039, 10.23, 102, 0, 0, 0
73768.75, -72.858019, 269.181074, 307.0994, 0.0002230, -0.0544633, 44.67, 1451, 34, 534, 1
73768.75, -72.855352, 269.171036, 317.4749, -0.0229866, -0.0439197, 62.26, 485, 0, 91, 2
73768.75, -72.852686, 269.160998, 326.1494, -0.0158961, -0.0243860, 38.05, 1154, 55, -352, 3
73768.75, -72.854806, 269.168981, 318.6173, -0.0297375, -0.0601088, 12.38, 89, 0, 0, 0
73769.00, -72.857784, 269.181743, 306.4075, 0.0002420, -0.0602984, 40.26, 1433, 63, 533, 1
73769.00, -72.855116, 269.171707, 316.2053, -0.0138103, -0.0308482, 69.39, 472, 0, 90, 2
73769.00, -72.852449, 269.161671, 324.8681, -0.0151310, -0.0262620, 53.95, 1198, 34, -354, 3
73769.00, -72.854577, 269.169679, 316.8379, -0.0166709, -0.0440119, 17.65, 68, 0, 0, 0
73769.25, -72.857557, 269.182460, 305.3406, 0.0016920, -0.0624900, 35.71, 1399, 63, 533, 1
73769.25, -72.854888, 269.172406, 315.4330, -0.0008972, -0.0148075, 53.62, 409, 7, 90, 2
73769.25, -72.852218, 269.162353, 323.5984, -0.0164074, -0.0289871, 74.09, 1208, 2, -354, 3
73769.25, -72.854349, 269.170378, 315.7573, -0.0032883, -0.0261225, 13.83, 62, 0, 0, 0
73769.50, -72.857339, 269.183204, 304.0686, 0.0023673, -0.0639181, 33.42, 1350, 54, 535, 1
73769.50, -72.854665, 269.173127, 315.2931, 0.0099197, -0.0040249, 34.53, 303, 6, 90, 2
73769.50, -72.851991, 269.163050, 322.8718, -0.0168264, -0.0252682, 77.43, 1135, 21, -354, 3
73769.50, -72.854120, 269.171076, 315.8624, 0.0180262, -0.0008496, 15.80, 52, 0, 0, 0
